INFO 2025-01-07 10:41:20,791 authentication Authenticating request...
DEBUG 2025-01-07 10:41:20,791 authentication Authorization header: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbl90eXBlIjoiYWNjZXNzIiwiZXhwIjoxNzM2MjQ0NTM1LCJpYXQiOjE3MzYyNDIxMzUsImp0aSI6IjRjZjcxZTBkMTU2MzQ0ZTFhZTc2YTgxMjRiMjllMTA3IiwidXNlcl9pZCI6MX0.9ZMZruoio_Mbfu_s6w_T_Rys8ZC1iCxUVc0Q0mTxYnc
DEBUG 2025-01-07 10:41:20,791 authentication Token received: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbl90eXBlIjoiYWNjZXNzIiwiZXhwIjoxNzM2MjQ0NTM1LCJpYXQiOjE3MzYyNDIxMzUsImp0aSI6IjRjZjcxZTBkMTU2MzQ0ZTFhZTc2YTgxMjRiMjllMTA3IiwidXNlcl9pZCI6MX0.9ZMZruoio_Mbfu_s6w_T_Rys8ZC1iCxUVc0Q0mTxYnc
DEBUG 2025-01-07 10:41:20,800 authentication Decoded token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbl90eXBlIjoiYWNjZXNzIiwiZXhwIjoxNzM2MjQ0NTM1LCJpYXQiOjE3MzYyNDIxMzUsImp0aSI6IjRjZjcxZTBkMTU2MzQ0ZTFhZTc2YTgxMjRiMjllMTA3IiwidXNlcl9pZCI6MX0.9ZMZruoio_Mbfu_s6w_T_Rys8ZC1iCxUVc0Q0mTxYnc
DEBUG 2025-01-07 10:41:20,801 connectionpool Starting new HTTP connection (1): user_service:8080
DEBUG 2025-01-07 10:41:20,812 connectionpool http://user_service:8080 "GET /api/user/1/ HTTP/11" 200 None
DEBUG 2025-01-07 10:41:20,812 authentication User data fetched: {'id': 1, 'username': 'alex', 'email': 'alexandre.stutz@hotmail.com'}
DEBUG 2025-01-07 10:41:20,812 authentication Authenticated user: User(id=1, username='alex', is_authenticated=True)
WARNING 2025-01-07 10:41:20,817 basehttp "POST /create-game/2/ HTTP/1.1" 401 51
DEBUG 2025-01-07 10:41:21,186 autoreload File /usr/local/lib/python3.10/site-packages/jwt/algorithms.py first seen with mtime 1736023386.3973675
DEBUG 2025-01-07 10:41:21,186 autoreload File /usr/local/lib/python3.10/site-packages/_cffi_backend.cpython-310-x86_64-linux-gnu.so first seen with mtime 1736023387.1268532
DEBUG 2025-01-07 10:41:21,186 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/__init__.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,186 autoreload File /usr/local/lib/python3.10/netrc.py first seen with mtime 1692164431.0
DEBUG 2025-01-07 10:41:21,186 autoreload File /usr/local/lib/python3.10/site-packages/jwt/exceptions.py first seen with mtime 1736023386.3973675
DEBUG 2025-01-07 10:41:21,187 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/__init__.py first seen with mtime 1736023389.124119
DEBUG 2025-01-07 10:41:21,187 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/ciphers/base.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,187 autoreload File /usr/local/lib/python3.10/site-packages/rest_framework_simplejwt/backends.py first seen with mtime 1736023389.5489755
DEBUG 2025-01-07 10:41:21,187 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/__about__.py first seen with mtime 1736023389.124119
