INFO 2024-12-20 10:40:01,260 autoreload Watching for file changes with StatReloader
INFO 2024-12-20 10:41:37,643 autoreload Watching for file changes with StatReloader
INFO 2024-12-20 10:41:48,631 basehttp "POST /api/token/ HTTP/1.1" 200 483
INFO 2024-12-20 10:42:35,696 basehttp "GET /api/user/1/ HTTP/1.1" 200 64
INFO 2024-12-20 10:46:42,023 autoreload Watching for file changes with StatReloader
INFO 2024-12-20 10:46:57,867 basehttp "POST /api/token/ HTTP/1.1" 200 483
INFO 2024-12-20 10:47:44,807 basehttp "GET /api/user/1/ HTTP/1.1" 200 64
WARNING 2024-12-20 10:47:58,440 basehttp "GET /api/user/1/ HTTP/1.1" 401 183
WARNING 2024-12-20 10:47:58,442 basehttp "GET /api/user/1/ HTTP/1.1" 401 183
INFO 2024-12-20 10:50:35,912 autoreload Watching for file changes with StatReloader
INFO 2024-12-20 10:53:48,987 autoreload /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/user_service/settings.py changed, reloading.
INFO 2024-12-20 10:53:49,172 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-20 10:53:49,172 autoreload Waiting for apps ready_event.
DEBUG 2024-12-20 10:53:49,199 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-20 10:53:49,204 autoreload Watching dir /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/templates with glob **/*.
DEBUG 2024-12-20 10:53:49,204 autoreload Watching dir /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-12-20 10:53:49,204 autoreload Watching dir /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/locale with glob **/*.mo.
DEBUG 2024-12-20 10:53:49,205 autoreload Watching dir /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-12-20 10:53:49,208 autoreload Watching dir /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2024-12-20 10:53:49,208 autoreload Watching dir /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-12-20 10:53:49,208 autoreload Watching dir /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/user/locale with glob **/*.mo.
DEBUG 2024-12-20 10:53:49,295 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/sites/shortcuts.py first seen with mtime 1734684350.0457153
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/asyncio/threads.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/template/loaders/cached.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/shortcuts.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/wsgiref/util.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/admin/views/autocomplete.py first seen with mtime 1734684349.9048822
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/template/library.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/rest_framework/utils/field_mapping.py first seen with mtime 1734684350.197382
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/sqlparse/lexer.py first seen with mtime 1734684350.2407155
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/PIL/ImageMode.py first seen with mtime 1734684349.8182154
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1734684350.0457153
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/utils/autoreload.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/psycopg2/_psycopg.cpython-310-x86_64-linux-gnu.so first seen with mtime 1734336658.3140924
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/core/handlers/asgi.py first seen with mtime 1734684350.0565488
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/rest_framework/utils/representation.py first seen with mtime 1734684350.197382
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/user/__init__.py first seen with mtime 1733840595.6944866
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/templatetags/static.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/PIL/__init__.py first seen with mtime 1734684349.8182154
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/rest_framework_simplejwt/views.py first seen with mtime 1734684350.197382
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1734684350.067382
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/string.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/core/checks/model_checks.py first seen with mtime 1734684350.0565488
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/views/__init__.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/user/apps.py first seen with mtime 1733840595.70532
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/db/backends/postgresql/introspection.py first seen with mtime 1734684350.067382
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/dis.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/asyncio/transports.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/copyreg.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/lib-dynload/termios.cpython-310-x86_64-linux-gnu.so first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/email/mime/text.py first seen with mtime 1730924533.0
